position_group,ht,ht_n,wt,wt_n,forty,forty_n,shuttle,shuttle_n,vertical,vertical_n,broad_jump,broad_jump_n,cone,cone_n
QB,74.62843483311738,4,217.94817032304186,4,4.830702828291854,4.0,4.373072695590009,4.0,28.98389258746258,4,106.89893212993164,4,,
RB,71.14086530992697,10,222.3156361659158,10,4.537920229215937,7.0,,,35.33488721120612,7,123.36210660360197,7,,
WR,73.08548552047328,17,197.34515903530232,17,4.502363525697113,8.0,,,34.434818229788654,9,122.5274542922334,8,,
TE,76.66478650962972,11,247.31601250840228,11,,,,,34.88938959442851,5,121.53215895124949,5,,
OL,77.36570772230681,22,316.5802014050271,22,5.004128329143324,15.0,4.6194858909367955,13.0,29.062760812138688,15,108.84015007465447,15,7.599904034928357,13.0
