position_group,grades_pass,btt_rate,twp_rate,avg_depth_of_target,avg_time_to_throw,accuracy_percent,pressure_to_sack_rate,grades_run,elusive_rating,yco_attempt,breakaway_percent,yprr,zone_rate,grades_pass_route,slot_rate,yards_after_catch_per_reception,contested_catch_rate,targeted_qb_rating,grades_pass_block,inline_rate,route_rate,grades_run_block,pbe
QB,77.38811314840936,5.02698636577339,3.281499764927128,8.677628898291804,2.705919918508071,76.1942250430967,14.750767904717131,,,,,,,,,,,,,,,,
RB,,,,,,,,81.8320952765442,69.38925111021396,3.096458417440452,32.73981631005249,1.2869398465886153,0.6788024605459324,,,,,,,,,,
WR,,,,12.045916311047892,,,,,,,,1.762545341394026,,72.81128793266952,32.800397107633955,4.328022759601708,42.50946416771791,96.96792911332386,,,,,
TE,,,,7.005246037788082,,,,,,,,1.241086580386186,,68.04977507093916,,,,,59.70086511177244,64.43088795072322,80.47557616444043,,
OL,,,,,,,,,,,,,,,,,,,58.40610781157909,,,67.80788502516208,96.96295869791902
