player_id,player_name,position,jersey_number,years_exp,college,headshot_url,position_group,physical_grade,physical_raw,physical_coverage,physical_ci_low,physical_ci_high,physical_features_used,physical_features_missing,physical_missing_names,statistical_grade,statistical_coverage,statistical_ci_low,statistical_ci_high,statistical_features_used,statistical_features_missing,experience_bucket,scheme_experience
00-0039244,Chris Collier,RB,33.0,2,University of Lock Haven,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oduxbaidoa1x5mzhhiz0",RB,50.83,50.83,0.6154,46.09,55.58,8,5,"forty, shuttle, cone, broad_jump, vertical",42.07,0.4,29.52,54.62,2,3,sophomore (10 snaps),yes
00-0039407,Dylan Laube,RB,23.0,2,New Hampshire,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lpizdza73bgksstymv5t",RB,34.78,34.78,1.0,30.04,39.52,6,0,,53.29,0.4,40.74,65.84,2,3,veteran,yes
00-0039066,Michael Mayer,TE,87.0,3,Notre Dame,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/crb4nzumiww6ftxcyiqm",TE,81.79,81.79,1.0,77.27,86.31,6,0,,44.61,1.0,40.09,49.13,4,0,veteran,yes
00-0036423,Albert Okwuegbunam,TE,85.0,6,Missouri,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gww1gus87vabpsalkrpc",TE,53.71,53.71,0.8333,46.09,61.32,5,1,grades_pass_block,64.42,0.5,52.88,75.95,2,2,veteran,partial
00-0037304,Connor Heyward,TE,34.0,4,Michigan State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9bnasge2v2dtctdtqnf",TE,50.71,50.71,1.0,46.18,55.23,6,0,,21.18,0.75,12.43,29.94,3,1,veteran,no
00-0041016,Patrick Gurd,TE,45.0,0,,,TE,49.4,49.4,0.5385,44.88,53.92,7,6,"ht, forty, shuttle, cone, broad_jump, vertical",87.66,0.25,73.91,100.0,1,3,rookie (college),unknown
00-0039338,Brock Bowers,TE,89.0,2,Georgia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy",TE,46.28,46.28,1.0,41.76,50.8,6,0,,34.68,0.5,23.15,46.21,2,2,veteran,yes
00-0034365,Ian Thomas,TE,80.0,8,Indiana; Nassau CC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gvpwnq0mjefjlekgzxro",TE,43.23,43.23,1.0,38.71,47.76,6,0,,55.17,1.0,50.65,59.69,4,0,veteran,partial
00-0040488,Carter Runyon,TE,84.0,1,Towson; Shenandoah University,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8knlo3npxhjxiyyx4h6",TE,38.56,38.56,0.6154,34.04,43.08,8,5,"forty, shuttle, cone, broad_jump, vertical",48.8,0.5,37.27,60.33,2,2,sophomore (7 snaps),yes
00-0038891,Shedrick Jackson,WR,4.0,3,Auburn,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/el1geev5wxc1cqbbrou7",WR,69.72,69.72,0.6429,66.08,73.35,9,5,"forty, shuttle, cone, broad_jump, vertical",86.33,0.4,74.15,98.5,2,3,sophomore (18 snaps),yes
00-0038563,Tre Tucker,WR,1.0,3,Cincinnati,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fsx05ats4azj8mus03d4",WR,67.71,67.71,1.0,64.07,71.35,7,0,,44.83,1.0,41.2,48.47,5,0,veteran,yes
00-0041004,Chase Roberts,WR,86.0,0,,,WR,61.86,61.86,0.5714,58.22,65.5,8,6,"ht, forty, shuttle, cone, broad_jump, vertical",59.64,0.2,45.74,73.54,1,4,rookie (college),unknown
00-0041005,Corey Rucker,WR,32.0,0,,,WR,57.0,57.0,0.5714,53.37,60.64,8,6,"ht, forty, shuttle, cone, broad_jump, vertical",47.78,0.2,33.88,61.68,1,4,rookie (college),unknown
